frame,id,type,x,y,z,kmh,gear
49891,70,vehicle.bh.crossbike,   -45.129,    80.971,     0.003,           0.00,0
49891,71,vehicle.bh.crossbike,    71.653,    13.388,     0.003,           0.00,0
49891,72,vehicle.bh.crossbike,    98.980,    53.542,     0.003,           0.00,0
49891,73,vehicle.bh.crossbike,   -24.019,    16.674,     0.003,           0.00,0
49891,74,vehicle.bh.crossbike,  -110.903,    58.049,     0.003,           0.00,0
49891,75,vehicle.bh.crossbike,   -76.012,   -64.469,     0.003,           0.00,0
49891,76,vehicle.bh.crossbike,   -48.818,    -7.498,     0.004,           0.00,0
49891,77,vehicle.bh.crossbike,   -52.345,   -17.398,     0.003,           0.00,0
49891,78,vehicle.bh.crossbike,   -12.937,   -57.631,     0.003,           0.00,0
49891,79,vehicle.bh.crossbike,   -14.081,    24.631,     0.003,           0.00,0
49891,80,vehicle.bh.crossbike,   -42.756,   136.987,     0.003,           0.00,0
49891,81,vehicle.bh.crossbike,  -113.679,    -7.985,     0.003,           0.00,0
49891,82,vehicle.bh.crossbike,    71.173,    24.863,     0.003,           0.00,0
49891,83,vehicle.bh.crossbike,    37.896,   -57.414,     0.003,           0.00,0
49891,84,vehicle.bh.crossbike,   -48.651,    58.430,     0.003,           0.00,0
49891,85,vehicle.bh.crossbike,   -55.919,    28.040,     0.003,           0.00,0
49891,86,vehicle.bh.crossbike,     8.962,    13.200,     0.003,           0.00,0
49891,87,vehicle.bh.crossbike,    10.552,    69.747,     0.003,           0.00,0
49891,64,vehicle.nissan.patrol_2021,    57.762,    27.910,     0.004,           0.00,0
49891,88,vehicle.bh.crossbike,   104.974,   -32.765,     0.003,           0.00,0
49891,89,vehicle.bh.crossbike,   -52.229,   -28.786,     0.003,           0.00,0
49891,90,vehicle.bh.crossbike,     3.812,    16.694,     0.003,           0.00,0
49891,91,vehicle.bh.crossbike,    20.701,    13.240,     0.003,           0.00,0
49891,92,vehicle.bh.crossbike,    -8.481,   130.145,     0.003,           0.00,0
49891,93,vehicle.bh.crossbike,   106.004,    55.927,     0.003,           0.00,0
49891,94,vehicle.bh.crossbike,   102.484,    55.602,     0.002,           0.00,0
49891,95,vehicle.bh.crossbike,   -45.295,   -23.142,     0.003,           0.00,0
49891,96,vehicle.bh.crossbike,    34.389,   -60.899,     0.003,           0.00,0
49891,97,vehicle.bh.crossbike,    30.800,   137.516,     0.003,           0.00,0
49891,98,vehicle.bh.crossbike,    44.245,   130.597,     0.003,           0.00,0
49891,99,vehicle.bh.crossbike,    50.592,    16.820,     0.003,           0.00,0
49891,100,vehicle.bh.crossbike,   -70.357,    24.476,     0.003,           0.00,0
49891,101,vehicle.bh.crossbike,   102.153,    91.923,     0.003,           0.00,0
49891,102,vehicle.bh.crossbike,    98.423,    94.412,     0.003,           0.00,0
49891,103,vehicle.bh.crossbike,   -83.142,    12.953,     0.003,           0.00,0
49891,104,vehicle.bh.crossbike,   -52.052,   111.803,     0.003,           0.00,0
49891,105,vehicle.bh.crossbike,   -19.402,    66.244,     0.003,           0.00,0
49891,106,vehicle.bh.crossbike,   -41.717,    37.406,     0.003,           0.00,0
49891,107,vehicle.bh.crossbike,    79.155,    69.845,     0.003,           0.00,0
49891,108,vehicle.bh.crossbike,  -103.091,   -13.755,     0.003,           0.00,0
49891,109,vehicle.bh.crossbike,  -110.198,    -8.681,     0.003,           0.00,0
49892,70,vehicle.bh.crossbike,   -45.129,    80.851,     0.003,           0.00,0
49892,71,vehicle.bh.crossbike,    71.532,    13.385,     0.003,           0.00,0
49892,72,vehicle.bh.crossbike,    98.979,    53.662,     0.003,           0.00,0
49892,73,vehicle.bh.crossbike,   -24.019,    16.674,     0.003,           0.00,0
49892,74,vehicle.bh.crossbike,  -110.904,    58.169,     0.003,           0.00,0
49892,75,vehicle.bh.crossbike,   -76.129,   -64.436,     0.003,           0.00,0
49892,76,vehicle.bh.crossbike,   -48.818,    -7.500,     0.004,           0.00,0
49892,77,vehicle.bh.crossbike,   -52.341,   -17.278,     0.003,           0.00,0
49892,78,vehicle.bh.crossbike,   -12.816,   -57.635,     0.003,           0.00,0
49892,79,vehicle.bh.crossbike,   -13.961,    24.628,     0.003,           0.00,0
49892,80,vehicle.bh.crossbike,   -42.636,   136.996,     0.003,           0.00,0
49892,81,vehicle.bh.crossbike,  -113.679,    -7.985,     0.003,           0.00,0
49892,82,vehicle.bh.crossbike,    71.293,    24.862,     0.003,           0.00,0
49892,83,vehicle.bh.crossbike,    38.016,   -57.417,     0.003,           0.00,0
49892,84,vehicle.bh.crossbike,   -48.651,    58.550,     0.003,           0.00,0
49892,85,vehicle.bh.crossbike,   -55.799,    28.043,     0.003,           0.00,0
49892,86,vehicle.bh.crossbike,     8.841,    13.204,     0.003,           0.00,0
49892,87,vehicle.bh.crossbike,    10.672,    69.749,     0.003,           0.00,0
49892,64,vehicle.nissan.patrol_2021,    57.762,    27.910,     0.004,           0.00,0
