frame,id,type,x,y,z,kmh,gear
33770,70,vehicle.bh.crossbike,   -45.100,    83.116,     0.003,           0.00,0
33770,71,vehicle.bh.crossbike,    73.804,    13.379,     0.003,           0.00,0
33770,72,vehicle.bh.crossbike,    99.016,    51.398,     0.003,           0.00,0
33770,73,vehicle.bh.crossbike,   -24.019,    16.674,     0.003,           0.00,0
33770,74,vehicle.bh.crossbike,  -110.869,    55.905,     0.003,           0.00,0
33770,75,vehicle.bh.crossbike,   -73.874,   -64.671,     0.003,           0.00,0
33770,76,vehicle.bh.crossbike,   -48.827,    -8.023,     0.003,           0.00,0
33770,77,vehicle.bh.crossbike,   -52.326,   -19.547,     0.003,           0.00,0
33770,78,vehicle.bh.crossbike,   -15.088,   -57.681,     0.003,           0.00,0
33770,79,vehicle.bh.crossbike,   -16.229,    24.630,     0.003,           0.00,0
33770,80,vehicle.bh.crossbike,   -44.927,   136.994,     0.003,           0.00,0
33770,81,vehicle.bh.crossbike,  -113.679,    -7.985,     0.003,           0.00,0
33770,82,vehicle.bh.crossbike,    69.028,    24.872,     0.003,           0.00,0
33770,83,vehicle.bh.crossbike,    35.745,   -57.420,     0.003,           0.00,0
33770,84,vehicle.bh.crossbike,   -48.636,    56.279,     0.003,           0.00,0
33770,85,vehicle.bh.crossbike,   -58.063,    28.016,     0.003,           0.00,0
33770,86,vehicle.bh.crossbike,    11.113,    13.220,     0.003,           0.00,0
33770,87,vehicle.bh.crossbike,     8.398,    69.763,     0.003,           0.00,0
33770,64,vehicle.nissan.patrol_2021,    57.762,    27.910,     0.004,           0.00,0
33770,109,vehicle.bh.crossbike,  -110.198,    -8.681,     0.003,           0.00,0
33770,108,vehicle.bh.crossbike,  -103.124,   -11.603,     0.003,           0.00,0
33770,107,vehicle.bh.crossbike,    77.003,    69.827,     0.003,           0.00,0
33770,106,vehicle.bh.crossbike,   -41.701,    39.554,     0.003,           0.00,0
33770,105,vehicle.bh.crossbike,   -17.250,    66.224,     0.003,           0.00,0
33770,104,vehicle.bh.crossbike,   -52.003,   109.656,     0.003,           0.00,0
33770,103,vehicle.bh.crossbike,   -83.142,    12.953,     0.003,           0.00,0
33770,102,vehicle.bh.crossbike,    98.644,    92.261,     0.003,           0.00,0
33770,101,vehicle.bh.crossbike,   102.200,    89.777,     0.003,           0.00,0
33770,100,vehicle.bh.crossbike,   -70.357,    24.476,     0.003,           0.00,0
33770,99,vehicle.bh.crossbike,    52.740,    16.836,     0.003,           0.00,0
33770,98,vehicle.bh.crossbike,    46.387,   130.535,     0.003,           0.00,0
33770,97,vehicle.bh.crossbike,    28.651,   137.500,     0.003,           0.00,0
33770,96,vehicle.bh.crossbike,    32.239,   -60.899,     0.003,           0.00,0
33770,95,vehicle.bh.crossbike,   -45.305,   -20.993,     0.003,           0.00,0
33770,94,vehicle.bh.crossbike,   102.492,    53.386,     0.001,           0.00,0
33770,93,vehicle.bh.crossbike,   105.986,    58.078,     0.003,           0.00,0
33770,92,vehicle.bh.crossbike,    -6.327,   130.188,     0.003,           0.00,0
33770,91,vehicle.bh.crossbike,    22.848,    13.236,     0.003,           0.00,0
33770,90,vehicle.bh.crossbike,     5.961,    16.676,     0.003,           0.00,0
33770,89,vehicle.bh.crossbike,   -52.227,   -30.931,     0.003,           0.00,0
33770,88,vehicle.bh.crossbike,   105.479,   -30.673,     0.002,           0.00,0
33771,70,vehicle.bh.crossbike,   -45.097,    82.996,     0.003,           0.00,0
33771,71,vehicle.bh.crossbike,    73.684,    13.378,     0.003,           0.00,0
33771,72,vehicle.bh.crossbike,    99.017,    51.518,     0.003,           0.00,0
33771,73,vehicle.bh.crossbike,   -24.019,    16.674,     0.003,           0.00,0
33771,74,vehicle.bh.crossbike,  -110.870,    56.025,     0.003,           0.00,0
33771,75,vehicle.bh.crossbike,   -73.994,   -64.668,     0.003,           0.00,0
33771,76,vehicle.bh.crossbike,   -48.825,    -7.903,     0.003,           0.00,0
33771,77,vehicle.bh.crossbike,   -52.328,   -19.427,     0.003,           0.00,0
33771,78,vehicle.bh.crossbike,   -14.968,   -57.678,     0.003,           0.00,0
33771,79,vehicle.bh.crossbike,   -16.109,    24.633,     0.003,           0.00,0
33771,80,vehicle.bh.crossbike,   -44.804,   136.989,     0.003,           0.00,0
33771,81,vehicle.bh.crossbike,  -113.679,    -7.985,     0.003,           0.00,0
33771,82,vehicle.bh.crossbike,    69.148,    24.875,     0.003,           0.00,0
33771,83,vehicle.bh.crossbike,    35.865,   -57.419,     0.003,           0.00,0
33771,84,vehicle.bh.crossbike,   -48.633,    56.399,     0.003,           0.00,0
33771,85,vehicle.bh.crossbike,   -57.943,    28.014,     0.003,           0.00,0
33771,86,vehicle.bh.crossbike,    10.993,    13.219,     0.003,           0.00,0
33771,87,vehicle.bh.crossbike,     8.518,    69.764,     0.003,           0.00,0
33771,64,vehicle.nissan.patrol_2021,    57.762,    27.910,     0.004,           0.00,0
33771,109,vehicle.bh.crossbike,  -110.198,    -8.681,     0.003,           0.00,0
33771,108,vehicle.bh.crossbike,  -103.121,   -11.723,     0.003,           0.00,0
33771,107,vehicle.bh.crossbike,    77.124,    69.829,     0.003,           0.00,0
33771,106,vehicle.bh.crossbike,   -41.699,    39.434,     0.003,           0.00,0
33771,105,vehicle.bh.crossbike,   -17.370,    66.222,     0.003,           0.00,0
33771,104,vehicle.bh.crossbike,   -52.004,   109.776,     0.003,           0.00,0
33771,103,vehicle.bh.crossbike,   -83.142,    12.953,     0.003,           0.00,0
33771,102,vehicle.bh.crossbike,    98.631,    92.380,     0.003,           0.00,0
33771,101,vehicle.bh.crossbike,   102.187,    89.897,     0.003,           0.00,0
33771,100,vehicle.bh.crossbike,   -70.357,    24.476,     0.003,           0.00,0
33771,99,vehicle.bh.crossbike,    52.620,    16.838,     0.003,           0.00,0
33771,98,vehicle.bh.crossbike,    46.267,   130.534,     0.003,           0.00,0
33771,97,vehicle.bh.crossbike,    28.771,   137.503,     0.003,           0.00,0
33771,96,vehicle.bh.crossbike,    32.359,   -60.902,     0.003,           0.00,0
33771,95,vehicle.bh.crossbike,   -45.303,   -21.113,     0.003,           0.00,0
33771,94,vehicle.bh.crossbike,   102.493,    53.513,     0.001,           0.00,0
33771,93,vehicle.bh.crossbike,   105.989,    57.958,     0.003,           0.00,0
33771,92,vehicle.bh.crossbike,    -6.447,   130.187,     0.003,           0.00,0
33771,91,vehicle.bh.crossbike,    22.728,    13.236,     0.003,           0.00,0
33771,90,vehicle.bh.crossbike,     5.841,    16.675,     0.003,           0.00,0
33771,89,vehicle.bh.crossbike,   -52.229,   -30.811,     0.003,           0.00,0
33771,88,vehicle.bh.crossbike,   105.434,   -30.784,     0.002,           0.00,0
33772,70,vehicle.bh.crossbike,   -45.095,    82.893,     0.003,           0.00,0
33772,71,vehicle.bh.crossbike,    73.581,    13.378,     0.003,           0.00,0
33772,72,vehicle.bh.crossbike,    99.018,    51.620,     0.003,           0.00,0
33772,73,vehicle.bh.crossbike,   -24.019,    16.674,     0.003,           0.00,0
33772,74,vehicle.bh.crossbike,  -110.871,    56.127,     0.003,           0.00,0
33772,75,vehicle.bh.crossbike,   -74.097,   -64.666,     0.003,           0.00,0
33772,76,vehicle.bh.crossbike,   -48.823,    -7.805,     0.003,           0.00,0
33772,77,vehicle.bh.crossbike,   -52.330,   -19.325,     0.003,           0.00,0
33772,78,vehicle.bh.crossbike,   -14.865,   -57.676,     0.003,           0.00,0
33772,79,vehicle.bh.crossbike,   -16.006,    24.635,     0.003,           0.00,0
33772,80,vehicle.bh.crossbike,   -44.700,   136.984,     0.002,           0.00,0
33772,81,vehicle.bh.crossbike,  -113.679,    -7.985,     0.003,           0.00,0
33772,82,vehicle.bh.crossbike,    69.251,    24.877,     0.003,           0.00,0
33772,83,vehicle.bh.crossbike,    35.968,   -57.419,     0.003,           0.00,0
33772,84,vehicle.bh.crossbike,   -48.632,    56.501,     0.003,           0.00,0
33772,85,vehicle.bh.crossbike,   -57.840,    28.013,     0.003,           0.00,0
33772,86,vehicle.bh.crossbike,    10.890,    13.217,     0.003,           0.00,0
33772,87,vehicle.bh.crossbike,     8.621,    69.764,     0.003,           0.00,0
33772,64,vehicle.nissan.patrol_2021,    57.762,    27.910,     0.004,           0.00,0
33772,109,vehicle.bh.crossbike,  -110.198,    -8.681,     0.003,           0.00,0
