frame,id,type,x,y,z,kmh,gear
8984,2859,vehicle.bh.crossbike,   264.399,   199.123,     0.003,           0.00,0
8984,2424,vehicle.bh.crossbike,   105.298,   200.840,     0.028,           0.00,0
8984,2872,vehicle.bh.crossbike,   313.565,   199.131,     0.003,           0.00,0
8984,2846,vehicle.bh.crossbike,   206.711,     1.987,     0.003,           0.00,0
8984,2834,vehicle.lincoln.mkz_2017,   124.482,    55.201,     0.032,           0.00,0
8984,2835,vehicle.tesla.model3,    93.000,    80.393,    -0.032,           0.00,0
8984,2849,vehicle.bh.crossbike,   268.583,   330.589,     0.003,           0.00,0
8984,2847,vehicle.bh.crossbike,   356.693,   330.738,     0.002,           0.00,0
8984,2843,vehicle.bh.crossbike,    92.451,   110.717,     0.003,           0.00,0
8984,2425,vehicle.bh.crossbike,   390.922,   147.815,     0.003,           0.00,0
8984,3225,vehicle.tesla.model3,   197.056,    59.892,     0.406,           0.01,1
8984,2429,vehicle.bh.crossbike,   179.659,   333.902,     0.107,           0.00,0
8984,2428,vehicle.bh.crossbike,   211.759,   323.050,    -0.163,           0.00,0
8984,2427,vehicle.bh.crossbike,   300.636,   131.375,     0.003,           0.00,0
8984,2867,vehicle.bh.crossbike,   110.731,    59.588,     0.002,           0.00,0
8984,2845,vehicle.bh.crossbike,   294.232,    59.442,     0.003,           0.00,0
8984,2869,vehicle.bh.crossbike,   139.081,   199.066,     0.003,           0.00,0
8984,2862,vehicle.bh.crossbike,   335.051,   304.657,     0.002,           0.00,0
8984,2857,vehicle.bh.crossbike,    88.177,   151.424,     0.002,           0.00,0
8984,2866,vehicle.bh.crossbike,   242.332,   129.626,     0.003,           0.00,0
8984,2855,vehicle.bh.crossbike,    92.296,   257.048,     0.003,           0.00,0
8984,2870,vehicle.bh.crossbike,   226.440,   326.534,     0.003,           0.00,0
8984,2852,vehicle.bh.crossbike,   372.237,     2.016,     0.003,           0.00,0
8984,2865,vehicle.bh.crossbike,    92.307,   154.171,     0.003,           0.00,0
8984,2863,vehicle.bh.crossbike,   253.430,   129.624,     0.002,           0.00,0
8984,2856,vehicle.bh.crossbike,   206.915,    55.468,     0.003,           0.00,0
8984,2851,vehicle.bh.crossbike,   392.363,   124.295,     0.002,           0.00,0
8984,2860,vehicle.bh.crossbike,    67.981,     1.983,     0.003,           0.00,0
8984,2871,vehicle.bh.crossbike,   158.043,    21.022,     0.003,           0.00,0
8984,2864,vehicle.bh.crossbike,   179.066,     1.996,     0.002,           0.00,0
8984,2868,vehicle.bh.crossbike,   176.445,    59.652,     0.002,           0.00,0
8984,2451,vehicle.bh.crossbike,     0.757,   162.337,     0.003,           0.00,0
8984,2452,vehicle.bh.crossbike,    81.214,   256.394,     0.034,           0.00,0
8984,2450,vehicle.bh.crossbike,   155.089,   203.099,     0.107,           0.00,0
8984,2449,vehicle.bh.crossbike,   397.438,   237.031,     0.003,           0.00,0
8984,2448,vehicle.bh.crossbike,    -3.992,   110.637,     0.057,           0.00,0
8984,2447,vehicle.bh.crossbike,    -8.828,    97.453,    -0.274,           0.00,0
8984,2446,vehicle.bh.crossbike,   271.042,    56.248,     0.003,           0.00,0
8984,2445,vehicle.bh.crossbike,   128.810,    -6.280,     0.107,           0.00,0
8984,2444,vehicle.bh.crossbike,   144.679,    54.955,     0.003,           0.00,0
8984,2443,vehicle.bh.crossbike,    28.315,     2.122,     0.002,           0.00,0
