frame,id,type,x,y,z,kmh,gear
6445,70,vehicle.bh.crossbike,   -44.764,    48.249,     0.003,           0.00,0
6445,71,vehicle.bh.crossbike,    22.861,    15.184,     0.004,           0.00,0
6445,72,vehicle.bh.crossbike,    97.389,   102.402,     0.002,           0.00,0
6445,73,vehicle.bh.crossbike,   -24.019,    16.674,     0.003,           0.00,0
6445,74,vehicle.bh.crossbike,  -103.315,   107.290,     0.003,           0.00,0
6445,75,vehicle.bh.crossbike,  -109.614,   -27.355,     0.003,           0.00,0
6445,76,vehicle.bh.crossbike,   -48.818,    -7.506,     0.003,           0.00,0
6445,77,vehicle.bh.crossbike,   -52.433,    -7.014,     0.003,           0.00,0
6445,78,vehicle.bh.crossbike,    41.188,   -57.007,     0.004,           0.00,0
6445,79,vehicle.bh.crossbike,    44.431,    23.745,     0.005,           0.00,0
6445,80,vehicle.bh.crossbike,    -1.685,   139.954,     0.004,           0.00,0
6445,81,vehicle.bh.crossbike,  -113.679,    -7.985,     0.003,           0.00,0
6445,82,vehicle.bh.crossbike,    77.756,    24.977,     0.003,           0.00,0
6445,83,vehicle.bh.crossbike,    89.535,   -47.481,     0.003,           0.00,0
6445,84,vehicle.bh.crossbike,   -48.539,   107.358,     0.000,           0.00,0
6445,85,vehicle.bh.crossbike,     0.148,    29.157,     0.000,           0.00,0
6445,86,vehicle.bh.crossbike,   -23.732,    13.151,     0.003,           0.00,0
6445,87,vehicle.bh.crossbike,    49.245,    69.867,     0.002,           0.00,0
6445,64,vehicle.nissan.patrol_2021,    73.370,    27.891,     0.004,           0.00,0
6445,88,vehicle.bh.crossbike,    70.734,   -61.375,     0.000,           0.00,0
6445,89,vehicle.bh.crossbike,   -52.279,   -10.083,     0.003,           0.00,0
6445,90,vehicle.bh.crossbike,   -21.233,    16.906,     0.003,           0.00,0
6445,91,vehicle.bh.crossbike,   -21.526,    13.112,     0.003,           0.00,0
6445,92,vehicle.bh.crossbike,   -42.416,   115.099,     0.003,           0.00,0
6445,93,vehicle.bh.crossbike,   105.883,    47.796,     0.003,           0.00,0
6445,94,vehicle.bh.crossbike,    98.669,   106.312,     0.003,           0.00,0
6445,95,vehicle.bh.crossbike,   -45.303,   -40.937,     0.003,           0.00,0
6445,96,vehicle.bh.crossbike,    79.957,   -58.602,     0.003,           0.00,0
6445,97,vehicle.bh.crossbike,    79.688,   134.140,     0.004,           0.00,0
6445,98,vehicle.bh.crossbike,     1.370,   128.606,    -0.009,           0.00,0
6445,99,vehicle.bh.crossbike,    -5.376,    17.645,     0.004,           0.00,0
6445,100,vehicle.bh.crossbike,   -44.105,    10.393,     0.001,           0.00,0
6445,101,vehicle.bh.crossbike,    83.075,   128.751,     0.003,           0.00,0
6445,102,vehicle.bh.crossbike,    78.331,   130.827,     0.002,           0.00,0
6445,103,vehicle.bh.crossbike,   -99.283,     0.936,     0.002,           0.00,0
6445,104,vehicle.bh.crossbike,   -86.009,   120.453,     0.002,           0.00,0
6445,105,vehicle.bh.crossbike,   -41.259,    48.182,     0.003,           0.00,0
6445,106,vehicle.bh.crossbike,   -45.258,    -5.174,     0.003,           0.00,0
