frame,id,type,x,y,z,kmh,gear
9682,70,vehicle.bh.crossbike,   -44.764,    48.249,     0.003,           0.00,0
9682,71,vehicle.bh.crossbike,    32.182,    11.736,     0.003,           0.00,0
9682,72,vehicle.bh.crossbike,   100.298,    94.010,     0.004,           0.00,0
9682,73,vehicle.bh.crossbike,   -24.019,    16.674,     0.003,           0.00,0
9682,74,vehicle.bh.crossbike,  -108.584,   102.392,     0.003,           0.00,0
9682,75,vehicle.bh.crossbike,  -106.268,   -37.440,     0.002,           0.00,0
9682,76,vehicle.bh.crossbike,   -48.818,    -7.506,     0.003,           0.00,0
9682,77,vehicle.bh.crossbike,   -52.433,    -7.014,     0.003,           0.00,0
9682,78,vehicle.bh.crossbike,    30.993,   -57.285,     0.004,           0.00,0
9682,79,vehicle.bh.crossbike,    31.188,    24.081,     0.003,           0.00,0
9682,80,vehicle.bh.crossbike,   -13.229,   139.006,     0.004,           0.00,0
9682,81,vehicle.bh.crossbike,  -113.679,    -7.985,     0.003,           0.00,0
9682,82,vehicle.bh.crossbike,    77.756,    24.977,     0.003,           0.00,0
9682,83,vehicle.bh.crossbike,    81.929,   -50.861,     0.003,           0.00,0
9682,84,vehicle.bh.crossbike,   -49.157,    97.300,     0.002,           0.00,0
9682,85,vehicle.bh.crossbike,   -15.795,    28.276,     0.003,           0.00,0
9682,86,vehicle.bh.crossbike,   -23.732,    13.151,     0.003,           0.00,0
9682,87,vehicle.bh.crossbike,    32.699,    69.649,     0.002,           0.00,0
9682,64,vehicle.nissan.patrol_2021,    73.367,    27.891,     0.004,           0.00,0
9682,109,vehicle.bh.crossbike,  -110.198,    -8.681,     0.003,           0.00,0
9682,108,vehicle.bh.crossbike,   -92.768,   -49.024,     0.004,           0.00,0
9682,107,vehicle.bh.crossbike,    97.483,    87.180,     0.003,           0.00,0
9682,106,vehicle.bh.crossbike,   -44.212,     3.105,     0.003,           0.00,0
9682,105,vehicle.bh.crossbike,   -41.259,    48.182,     0.003,           0.00,0
9682,104,vehicle.bh.crossbike,   -74.366,   126.173,     0.002,           0.00,0
9682,103,vehicle.bh.crossbike,   -98.487,    10.000,     0.002,           0.00,0
9682,102,vehicle.bh.crossbike,    84.908,   123.477,    -0.000,           0.00,0
9682,101,vehicle.bh.crossbike,    91.070,   123.075,     0.007,           0.00,0
9682,100,vehicle.bh.crossbike,   -54.717,    22.490,     0.002,           0.00,0
9682,99,vehicle.bh.crossbike,     6.902,    17.165,    -0.000,           0.00,0
9682,98,vehicle.bh.crossbike,     1.570,   128.271,    -0.041,           0.00,0
9682,97,vehicle.bh.crossbike,    68.587,   135.933,     0.003,           0.00,0
9682,96,vehicle.bh.crossbike,    72.778,   -57.372,     0.000,           0.00,0
9682,95,vehicle.bh.crossbike,   -45.303,   -40.937,     0.003,           0.00,0
9682,94,vehicle.bh.crossbike,   103.423,    99.633,     0.004,           0.00,0
9682,93,vehicle.bh.crossbike,   105.883,    47.796,     0.003,           0.00,0
9682,92,vehicle.bh.crossbike,   -37.569,   128.042,     0.003,           0.00,0
9682,91,vehicle.bh.crossbike,   -21.536,    13.111,     0.005,           0.00,0
9682,90,vehicle.bh.crossbike,   -21.233,    16.906,     0.003,           0.00,0
9682,89,vehicle.bh.crossbike,   -52.279,   -10.083,     0.003,           0.00,0
